ID,product,rate,village,date,farmer,buyerName,marketPrice,volume
127,Cashewnut,145,Donelapalli,2018-05-22,James Farmer,EXPEL Nursery,143,154.5
128,Cashewnut,145,Donelapalli,2018-05-22,Benazir Santos,EXPEL Nursery,143,116
129,Cashewnut,145,Donelapalli,2018-05-22,Timothy Mathews,EXPEL Nursery,143,127
130,Cashewnut,145,Donelapalli,2018-05-22,Chance Nichols,EXPEL Nursery,143,160.5
131,Cashewnut,145,Donelapalli,2018-05-22,Cordero Knodel-Eldridge,EXPEL Nursery,143,160
132,Cashewnut,145,Donelapalli,2018-05-22,Kaitlyn Bailey,EXPEL Nursery,143,84.5
133,Cashewnut,145,Donelapalli,2018-05-22,Michael Washington,EXPEL Nursery,143,12.5
134,Maize,11.4,Chandrayya Gudem,2018-05-22,Fat'hiyaa el-Wahab,POST Nursery,11.2,3900
135,Maize,11.4,East Mettagudem,2018-05-22,Cameron Ramos,POST Nursery,11.2,4600
136,Maize,11.4,Manchulavarigudem,2018-05-22,"Jam,Aan el-Hafeez",PRACTICE Nursery,11.2,7600
137,Maize,11.5,Swarnavarigudem,2018-05-22,Audra Hernandez,HARM Organic Produce,11.3,10000
138,Maize,11.3,Swarnavarigudem,2018-05-22,Alba Dickerson,HARM Organic Produce,11.1,7250
139,Maize,11.35,Ravi gudem,2018-05-22,Sabaah el-Kamara,BOW Organic Produce,11.15,2750
140,Maize,11.35,Ravi gudem,2018-05-22,Sabrina Garman,OVERHEAR Nursery,11.15,4200
141,Maize,11.35,Ravi gudem,2018-05-22,Karina Rodriguez-Ruiz,OVERHEAR Nursery,11,3100
142,Maize,11.35,Ravi gudem,2018-05-22,Brittany Rodriguez,OVERHEAR Nursery,11.2,3600
143,Maize,11.35,Chandrayya Gudem,2018-05-22,Kodi Peek,POST Nursery,11.2,5000
144,Maize,11.3,Gangolu,2018-05-22,Chloe Hassan,BIND Organic Produce,11,7000
145,Maize,11.3,Gangolu,2018-05-22,Debbie Perales-Longoria,BIND Organic Produce,11,6500
146,Maize,11.35,Gangolu,2018-05-22,Rebecca Padilla Jr,BIND Organic Produce,11,4500
147,Maize,11.5,Pamulavari gudem,2018-05-22,Mubeena el-Baksh,HARM Organic Produce,11.3,3000
148,Cashewnut,148,Chalakaveedi,2018-05-23,Austin Martinez,PERMIT Farm,147,100
149,Cashewnut,148,Chalakaveedi,2018-05-23,Johanna Nelson,PERMIT Farm,147,42
150,Cashewnut,148,Chalakaveedi,2018-05-23,Joshua Johnson,PERMIT Farm,147,72
151,Cashewnut,148,Chalakaveedi,2018-05-23,Jonathan Kishi,PERMIT Farm,147,38
152,Cashewnut,148,Chalakaveedi,2018-05-23,Peter Hinricks,PERMIT Farm,147,60
153,Cashewnut,148,Chalakaveedi,2018-05-23,Sydni Nightwalker,PERMIT Farm,147,30
154,Cashewnut,147,Amudalabanda,2018-05-23,Khongmong Arugonda,FORBID Nursery,145,92
155,Cashewnut,147,Amudalabanda,2018-05-23,Dami Mai,FORBID Nursery,145,76
156,Cashewnut,147,Amudalabanda,2018-05-23,Joseph Hsu,FORBID Nursery,145,168
157,Cashewnut,147,Amudalabanda,2018-05-23,Marnita Currin,FORBID Nursery,145,38
158,Cashewnut,147,Amudalabanda,2018-05-23,Jacob Lodewyk,FORBID Nursery,145,146
159,Cashewnut,147,Amudalabanda,2018-05-23,Dustin Lee Berris,FORBID Nursery,145,22
160,Cashewnut,147,Amudalabanda,2018-05-23,Nicholas Pacheco,FORBID Nursery,145,363
161,Cashewnut,146,Cheedipalem,2018-05-23,Fuaada al-Taha,SWIPE Organic Produce,144,17.5
163,Cashewnut,146,Cheedipalem,2018-05-23,Renee Perez Martinez,SWIPE Organic Produce,144,56.5
164,Cashewnut,146,Cheedipalem,2018-05-23,Donavan Dye,SWIPE Organic Produce,144,227
165,Cashewnut,147,Rajampalem,2018-05-23,Elvira Gomez-Cordero,ESCAPE Farm,145,126
166,Cashewnut,147,Rajampalem,2018-05-23,Robert Itliong,ESCAPE Farm,145,247
167,Cashewnut,147,Rajampalem,2018-05-23,Ismaeel al-Karimi,ESCAPE Farm,145,208
168,Cashewnut,147,Rajampalem,2018-05-23, Saalih el-Ayoob,ESCAPE Farm,145,83
169,Cashewnut,147,Rajampalem,2018-05-23,Azza al-Saad,ESCAPE Farm,145,306
170,Cashewnut,147,Rajampalem,2018-05-23,Jocelyn Caldwell,ESCAPE Farm,145,126
171,Cashewnut,147,E. Ramavaram,2018-05-23,Scarlett Dziubasik,PERMIT Farm,145,25
172,Cashewnut,147,E. Ramavaram,2018-05-23,Jordan Williamson,PERMIT Farm,145,10.5
173,Cashewnut,147,E. Ramavaram,2018-05-23,Lexandra Djokic,PERMIT Farm,145,130
174,Cashewnut,147,E. Ramavaram,2018-05-23,Phillip Madison,PERMIT Farm,145,223
175,Cashewnut,147,E. Ramavaram,2018-05-23,Gwynneisha Reynolds,PERMIT Farm,145,154
176,Cashewnut,147,E. Ramavaram,2018-05-23,Morgan Groleau,PERMIT Farm,145,174
177,Cashewnut,147,E. Ramavaram,2018-05-23,Paige Seng,PERMIT Farm,145,47.5
178,Cashewnut,147,E. Ramavaram,2018-05-23,Cristopher Lopez,PERMIT Farm,145,14
179,Cashewnut,148.5,Lakkonda,2018-05-23,Austin James,NAME Organic Produce,147,123
180,Cashewnut,148.5,Lakkonda,2018-05-23,Carmen Austin,NAME Organic Produce,147,159
181,Cashewnut,148.5,Lakkonda,2018-05-23,Tyler Obrien,NAME Organic Produce,147,109
182,Cashewnut,148.5,Lakkonda,2018-05-23,Navro Busby,NAME Organic Produce,146,125
183,Cashewnut,147,E. Ramavaram,2018-05-23,Andrew Sok,PERMIT Farm,145,54.5
184,Cashewnut,147,E. Ramavaram,2018-05-23,Jackson Harris,PERMIT Farm,145,5.5
185,Cashewnut,148.5,Lakkonda,2018-05-23,Janiva Gary,NAME Organic Produce,147,110
186,Cashewnut,148.5,Lakkonda,2018-05-23,Juan Garcia,NAME Organic Produce,147,70
187,Cashewnut,148.5,Lakkonda,2018-05-23,Rowell Jeffries,PERMIT Farm,147,37
188,Cashewnut,148.5,Lakkonda,2018-05-23,Aanisa el-Dia,PERMIT Farm,147,99
189,Cashewnut,148,Pandraprolu,2018-05-23,Fikra al-Pashia,SPY Organic Produce,147,116
190,Cashewnut,148.5,Lakkonda,2018-05-23,Nedra Jordahl,PERMIT Farm,147,64
191,Cashewnut,148,Pandraprolu,2018-05-23,Hilmi al-Idris,SPY Organic Produce,147,85
192,Cashewnut,148,Pandraprolu,2018-05-23,Courtlandt Porco,SPY Organic Produce,147,44
193,Cashewnut,148.5,Nadivedhi,2018-05-23,Emilio Wright,PERMIT Farm,147,99
194,Cashewnut,148.5,Nadivedhi,2018-05-23,Lael Benavidez,PERMIT Farm,147,68
195,Cashewnut,148.5,Nadivedhi,2018-05-23,Sean Rockwell,PERMIT Farm,147,9
196,Cashewnut,148.5,Nadivedhi,2018-05-23,Melissa Lucero,PERMIT Farm,147,131
197,Cashewnut,148.5,Nadivedhi,2018-05-23,Aatif el-Mostafa,PERMIT Farm,147,64
198,Cashewnut,148.5,Nadivedhi,2018-05-23,Kiera Friedman,PERMIT Farm,147,304
199,Cashewnut,148.5,Nadivedhi,2018-05-23,Regina Narang,PERMIT Farm,147,264
200,Cashewnut,148.5,Nadivedhi,2018-05-23,Nazmi el-Rais,PERMIT Farm,147,223
201,Cashewnut,148.5,Lakkonda,2018-05-23,Austin James,TRUST Nursery,147,123
202,Cashewnut,148.5,Lakkonda,2018-05-23,Cordero Adams,PERMIT Farm,147,9.9
203,Cashewnut,148.5,Lakkonda,2018-05-23,Anthony Dall,PERMIT Farm,147,304
204,Cashewnut,148.5,Lakkonda,2018-05-23,Caitlyn Smith,PERMIT Farm,147,264
205,Cashewnut,148,Pandraprolu,2018-05-23,Courtlandt Porco,SYSTEMATIZE Nursery,147,44
206,Cashewnut,148,Pandraprolu,2018-05-23,Waleed el-Jabbar,SYSTEMATIZE Nursery,147,85
207,Cashewnut,148,Pandraprolu,2018-05-23,Jeremy Mendoza,SYSTEMATIZE Nursery,147,68
208,Cashewnut,148,Pandraprolu,2018-05-23,Isiah Arenivar-Corral,SYSTEMATIZE Nursery,147,84
209,Cashewnut,148,Pandraprolu,2018-05-23,Fikra al-Pashia,SYSTEMATIZE Nursery,147,116
210,Cashewnut,148.5,Lakkonda,2018-05-23,Navro Busby,PERMIT Farm,147,125
211,Cashewnut,148.5,Lakkonda,2018-05-23,Janiva Gary,PERMIT Farm,147,110
212,Cashewnut,148.5,Lakkonda,2018-05-23,Juan Garcia,PERMIT Farm,147,70
213,Cashewnut,148.5,Lakkonda,2018-05-23,Jordan Moya,PERMIT Farm,147,159
215,Cashewnut,147,E. Ramavaram,2018-05-23,Taylor Thesz,PERMIT Farm,145,37
216,Cashewnut,148.5,Lakkonda,2018-05-23,Tyler Obrien,PERMIT Farm,147,109
217,Cashewnut,148.5,Lakkonda,2018-05-23,Christine Matthews,PERMIT Farm,147,8.5
218,Cashewnut,147,Rajampalem,2018-05-23,Ismaeel al-Karimi,REALIGN Nursery,145,208
219,Cashewnut,147,Rajampalem,2018-05-23,Danielle Nygaard,BUBBLE Nursery,145,171
220,Cashewnut,147,Rajampalem,2018-05-23,Elvira Gomez-Cordero,REALIGN Nursery,145,126
221,Cashewnut,147,Rajampalem,2018-05-23,Robert Itliong,BUBBLE Nursery,145,247
222,Cashewnut,147,Rajampalem,2018-05-23, Saalih el-Ayoob,REALIGN Nursery,145,83
223,Cashewnut,147,Rajampalem,2018-05-23,Azza al-Saad,BUBBLE Nursery,145,306
224,Cashewnut,147,Rajampalem,2018-05-23,Naaji el-Jalali,REALIGN Nursery,145,97
226,Cashewnut,147,E. Ramavaram,2018-05-23,Kylie Kersh,PERMIT Farm,145,37
227,Cashewnut,147,Rajampalem,2018-05-23,Shalil Stechert,BUBBLE Nursery,145,204
229,Cashewnut,147,E. Ramavaram,2018-05-23,Scarlett Dziubasik,PERMIT Farm,145,25
230,Cashewnut,147,Amudalabanda,2018-05-23,Nicholas Pacheco,BUBBLE Nursery,145,298
231,Cashewnut,147,Amudalabanda,2018-05-23,Afnaan el-Rahaman,BAT Organic Produce,145,182.5
232,Cashewnut,147,Amudalabanda,2018-05-23,Jordan Samuels,OWN Farm,145,162
233,Cashewnut,147,Amudalabanda,2018-05-23,Khongmong Arugonda,KNOT Farm,145,92
234,Cashewnut,147,Amudalabanda,2018-05-23,Dami Mai,BUBBLE Nursery,145,76
235,Cashewnut,147,Amudalabanda,2018-05-23,Joseph Hsu,BAT Organic Produce,145,168
236,Cashewnut,147,Amudalabanda,2018-05-23,Marnita Currin,BUBBLE Nursery,145,38
237,Cashewnut,147,Amudalabanda,2018-05-23,Jesse Aya,FORBID Nursery,145,212
240,Cashewnut,148,Chalakaveedi,2018-05-23,Joshua Johnson,PERMIT Farm,147,72
241,Cashewnut,148,Chalakaveedi,2018-05-23,Ralph Fierro,PERMIT Farm,147,38
242,Cashewnut,148,Chalakaveedi,2018-05-23,Jasmin Vinton,PERMIT Farm,147,60
243,Cashewnut,147,Komaravaram,2018-05-23,Daniella Johnson,SHOP Organic Produce,146,40
244,Cashewnut,147,Komaravaram,2018-05-23,Kendra Obinnah,PERMIT Farm,146,25
245,Cashewnut,147,Komaravaram,2018-05-23,Balente Chavez,PERMIT Farm,146,20
246,Cashewnut,147,Kusumarai,2018-05-23,Timothy Lee,EXPEL Nursery,146,7.5
247,Cashewnut,150,Nuvvumamidi,2018-05-23,Rylee Huffer,KEEP Nursery,147,83
248,Cashewnut,150,Nuvvumamidi,2018-05-23,Jennifer Nguyen,KEEP Nursery,147,22
249,Cashewnut,150,Nuvvumamidi,2018-05-23,Ridwaan el-Fahmy,KEEP Nursery,147,10.5
250,Cashewnut,149,Pandrapottipalem,2018-05-23,Humaid el-El-Sayed,PERMIT Farm,146,121.5
251,Cashewnut,149,Pandrapottipalem,2018-05-23,Mariyah Mcdonald,PERMIT Farm,146,20
253,Cashewnut,149,Pandrapottipalem,2018-05-23,Lionel Gallegos,PERMIT Farm,146,37
254,Cashewnut,146,Cheedipalem,2018-05-24,Dylan Quackenbush,SWIPE Organic Produce,144,47.5
255,Cashewnut,146,Cheedipalem,2018-05-24,Mikayla Galvan,SWIPE Organic Produce,144,47
256,Cashewnut,146,Cheedipalem,2018-05-24,Renee Perez Martinez,BAT Organic Produce,144,56.5
257,Cashewnut,146,Cheedipalem,2018-05-24,Fuaada al-Taha,BAT Organic Produce,144,17.5
259,Cashewnut,145,Donelapalli,2018-05-24,Samantha Schimpf,SCREW Farm,143,90
260,Cashewnut,145,Donelapalli,2018-05-24,James Farmer,SCREW Farm,143,154.5
261,Cashewnut,145,Donelapalli,2018-05-24,Catherine Sumual,EXPEL Nursery,143,180
262,Maize,11.3,Guddigudem,2018-05-24,Sanjuana Andujo,POINT Organic Produce,11,3500
264,Maize,11.5,Pamulavari gudem,2018-05-24,Marisa Morrison-Cook,EFFECT Nursery,11.3,3000
265,Cashewnut,145,Donelapalli,2018-05-24,Antonio Daniel,EXPEL Nursery,143,180
266,Cashewnut,145,Gangavaram,2018-05-24,Boquan Albright-Walker,EXPEL Nursery,143,127
267,Maize,11.5,Vankavarigudam,2018-05-24,Samantha Paone,FORCE Farm,11.3,6250
268,Cashewnut,145,Donelapalli,2018-05-24,Chance Nichols,SCREW Farm,143,160.5
269,Cashewnut,145,Donelapalli,2018-05-24,Cordero Knodel-Eldridge,SCREW Farm,143,160
270,Cashewnut,145,Donelapalli,2018-05-24,Kaitlyn Bailey,SCREW Farm,143,84.5
271,Cashewnut,145,Donelapalli,2018-05-24,Michael Washington,SCREW Farm,143,12.5
272,Maize,11.35,Koyankam palem,2018-05-24,Tawfeeqa al-Mansur,SIP Organic Produce,11.2,8400
273,Maize,11.3,T Kattu palli,2018-05-24,Mariela Sebastian,PRACTICE Nursery,11.2,2900
274,Maize,11.3,Kummari kunta,2018-05-24,Kevin Boudreau,BOW Organic Produce,11.2,6500
276,Maize,11.3,T Kattu palli,2018-05-24,Richard Clifford,SMUGGLE Nursery,11.2,1900
278,Maize,11.6,Pamulavari gudem,2018-05-24,Jessica Mellon,FORCE Farm,11.3,12550
279,Maize,11.3,Guddigudem,2018-05-24,Matthew Lucero,POINT Organic Produce,11.15,3000
281,Cashewnut,148,Goragommi,2018-05-24,Lorenzo Medina,TELEPHONE Farm,145,82
282,Cashewnut,148,Goragommi,2018-05-24,Kulthum el-Salman,TELEPHONE Farm,145,78
283,Cashewnut,148,Goragommi,2018-05-24,Min Stackhouse,TELEPHONE Farm,145,84
285,Maize,11.6,Chityala,2018-05-24,Mia Gonzales,SPRINT Farm,11.3,9800
287,Maize,11.3,Chityala,2018-05-24,Christopher Hicks,SPRINT Farm,11.2,7000
289,Maize,11.2,Chityala,2018-05-24,Nkaujiaong Elliott,SPRINT Farm,11.15,10200
291,Cashewnut,144,Rajampalem,2018-05-24,Vincent D Attilo,BE Organic Produce,142,80
292,Cashewnut,144,Rajampalem,NA,Marisha Mayes,BE Organic Produce,142,162
293,Cashewnut,144,Rajampalem,2018-05-24,Teisha Wells,BE Organic Produce,142,101
294,Cashewnut,144,Rajampalem,2018-05-24,Azza al-Saad,BE Organic Produce,142,51.5
295,Cashewnut,141.25,Peddagarla padu,2018-05-24,Michaela Ashtakala,KNOT Farm,139,90
296,Cashewnut,141.25,Peddagarla padu,2018-05-24,Nu'maan al-Iqbal,KNOT Farm,139,74.5
298,Cashewnut,141.25,Peddagarla padu,2018-05-24,Tahvian Harrison,RHYME Organic Produce,139,7
299,Cashewnut,144,Rajampalem,2018-05-24,Angela Merna,BE Organic Produce,142,215
300,Cashewnut,145,Amudalabanda,2018-05-24,Lindsay Fung-A-Fat,FORBID Nursery,142,46
301,Cashewnut,141.25,Peddagarla padu,2018-05-24,Maa'iz el-Hosseini,RHYME Organic Produce,139,39.5
302,Cashewnut,141.25,Peddagarla padu,2018-05-24,Angelica Trujillo,RHYME Organic Produce,139,12.5
303,Cashewnut,141.25,Peddagarla padu,2018-05-24,Nicholas Beatley,FORBID Nursery,139,37.5
304,Cashewnut,141.25,Peddagarla padu,2018-05-24,Ivan Banda-Chavez,RHYME Organic Produce,139,140
305,Cashewnut,142.25,Goragommi,2018-05-24,Jonathan Downey,TELEPHONE Farm,140,80
307,Cashewnut,145,Nadivedhi,2018-05-24,Emilio Wright,LISTEN Farm,141,80.5
